1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,Insurance Data,,,,,,,,,,,,,,,,,,,,
ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,City,Claim Date
63581743,0,60,0,11,"$67,349 ",No,$0 ,z_No,M,PhD,Professional,14,Private,"$14,230 ",11,Minivan,yes,"$4,461 ",2,No,3,$0 ,18,0,Oklahoma City,11/11/2014
132761049,0,43,0,11,"$91,449 ",No,"$257,252 ",z_No,M,z_High School,z_Blue Collar,22,Commercial,"$14,940 ",1,Minivan,yes,$0 ,0,No,0,$0 ,1,0,Oklahoma City,2/5/2014
921317019,0,48,0,11,"$52,881 ",No,$0 ,z_No,M,Bachelors,Manager,26,Private,"$21,970 ",1,Van,yes,$0 ,0,No,2,$0 ,10,0,Oklahoma City,10/17/2014
727598473,0,35,1,10,"$16,039 ",No,"$124,191 ",Yes,z_F,z_High School,Clerical,5,Private,"$4,010 ",4,z_SUV,no,"$38,690 ",2,No,3,$0 ,10,0,Oklahoma City,1/28/2014
450221861,0,51,0,14,,No,"$306,251 ",Yes,M,<High School,z_Blue Collar,32,Private,"$15,440 ",7,Minivan,yes,$0 ,0,No,0,$0 ,6,0,Seattle,11/5/2014
743146596,0,50,0,,"$114,986 ",No,"$243,925 ",Yes,z_F,PhD,Doctor,36,Private,"$18,000 ",1,z_SUV,no,"$19,217 ",2,Yes,3,$0 ,17,0,Seattle,6/28/2014
871024631,0,34,1,12,"$125,301 ",Yes,$0 ,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,"$17,430 ",1,Sports Car,no,$0 ,0,No,0,"$2,946 ",7,1,Arlington,11/6/2012
792300541,0,54,0,,"$18,755 ",No,,Yes,z_F,<High School,z_Blue Collar,33,Private,"$8,780 ",1,z_SUV,no,$0 ,0,No,0,$0 ,1,0,Seattle,4/14/2013
7945239,1,40,1,11,"$50,815 ",Yes,$0 ,z_No,M,z_High School,Manager,21,Private,"$18,930 ",6,Minivan,no,"$3,295 ",1,No,2,"$6,477 ",1,1,Troy,11/11/2014
